Song Take,Song Name,Ragam,Composer,Janya Number,Youtube Link,Shruti
1,Pranamamyaham,Gowlai,Mysore-Vaasudevacharya,15,https://www.youtube.com/watch?v=rEd79RYv7C0&ab_channel=SwaraR%C4%81gaSudh%C4%81mrutham,3 Kattai
2,Pranamamyaham,Gowlai,Mysore-Vaasudevacharya,15,https://www.youtube.com/watch?v=3lY0bcwmql8&ab_channel=SubramanianKrishnan,6 Kattai
1,Shri-Mahaganapathi,Gowlai,Mutthuswami-Dikshitar,15,https://www.youtube.com/watch?v=QIKaU1H2JV4&ab_channel=HOPEADTV,3 Kattai
2,Shri-Mahaganapathi,Gowlai,Mutthuswami-Dikshitar,15,https://www.youtube.com/watch?v=2tXBagvTS-M&ab_channel=SureshM,3 Kattai
1,Gowri-Manohara,Gowri-Manohari,Papanasam-Shivan,23,https://www.youtube.com/watch?v=hZ7Zue1wS4U&ab_channel=AmuthamMusic,4 Kattai
2,Gowri-Manohara,Gowri-Manohari,Papanasam-Shivan,23,https://www.youtube.com/watch?v=3k7PvWFDSUA&ab_channel=CarnaticKutcheriWorld,1 Kattai
1,Manamu-Leda,Hamir-Kalyani,Thyagaraja,65,https://www.youtube.com/watch?v=rqSEWXP_1kg&ab_channel=SuswaraLahari%28NarayanKumar%29,4 Kattai
2,Manamu-Leda,Hamir-Kalyani,Thyagaraja,65,https://www.youtube.com/watch?v=XpVSkoEk-28&ab_channel=SubramanianKrishnan,3 Kattai
1,Parimala-Ranganatha,Hamir-Kalyani,Mutthuswami-Dikshitar,65,https://www.youtube.com/watch?v=SWggOrhVsIc&ab_channel=SuswaraLahari%28NarayanKumar%29,3 Kattai
2,Parimala-Ranganatha,Hamir-Kalyani,Mutthuswami-Dikshitar,65,https://www.youtube.com/watch?v=SXwhIeli9ps&ab_channel=SubramanianKrishnan,6 Kattai
1,Thumani-Maadathu,Hamir-Kalyani,Andal,65,https://www.youtube.com/watch?v=8SAtaH5ZB8k&ab_channel=MadRasanaOfficial,7 Kattai
2,Thumani-Maadathu,Hamir-Kalyani,Andal,65,https://www.youtube.com/watch?v=jV9tzZq5E8k&ab_channel=DeepikaVaradarajan,6 Kattai
1,Pahi-Jaga-Janani,Hamsaanandi,Swati-Tirunal,53,https://www.youtube.com/watch?v=D1s8TAvvmeU&ab_channel=SubramanianKrishnan,3 Kattai
2,Pahi-Jaga-Janani,Hamsaanandi,Swati-Tirunal,53,https://www.youtube.com/watch?v=K4BWMVBuc6c&ab_channel=Ranjani-Gayatri-Topic,3 Kattai
1,Pavana-Guru,Hamsaanandi,Lalita-Daasar,53,https://www.youtube.com/watch?v=EI7h0syNqdA&ab_channel=CarnaticEcstasy,7 Kattai
2,Pavana-Guru,Hamsaanandi,Lalita-Daasar,53,https://www.youtube.com/watch?v=qAU3D5LLXaw&ab_channel=CarnaticClassicalManoramaMusic,4 Kattai
1,Srinivasa-Thiruvenkata,Hamsaanandi,Papanasam-Shivan,53,https://www.youtube.com/watch?v=OcACiYpb6LY&ab_channel=SreejithAk,5 Kattai
2,Srinivasa-Thiruvenkata,Hamsaanandi,Papanasam-Shivan,53,https://www.youtube.com/watch?v=VaWPYssuyyY&ab_channel=SubramanianKrishnan,1 Kattai
1,Gajavadhana-Bedhuve,Hamsadhwani,Purandhara-Dhasa,29,https://www.youtube.com/watch?v=ZVMBqpDY-Bg&ab_channel=CarnaticEcstasy,6 Kattai
2,Gajavadhana-Bedhuve,Hamsadhwani,Purandhara-Dhasa,29,https://www.youtube.com/watch?v=ubhwt_MJilk&ab_channel=AdorableIndia,3 Kattai
1,Vaathapi,Hamsadhwani,Mutthuswami-Dikshitar,29,https://www.youtube.com/watch?v=2su0ZhKi12I&ab_channel=BengalFoundation,6 Kattai
2,Vaathapi,Hamsadhwani,Mutthuswami-Dikshitar,29,https://www.youtube.com/watch?v=oiFsgjz4v2Y&ab_channel=CarnaticClassicalManoramaMusic,5 Kattai
1,Varanamukhava,Hamsadhwani,Koteeshwara-Iyer,29,https://www.youtube.com/watch?v=4I2cheAxppI&ab_channel=RathnaPrabhaMusic,5 Kattai
2,Varanamukhava,Hamsadhwani,Koteeshwara-Iyer,29,https://www.youtube.com/watch?v=O9LL2r791M0&ab_channel=WOWSTUDIOZ,6 Kattai
1,Bantureethi,Hamsanaadam,Thyagaraja,60,https://www.youtube.com/watch?v=nugH9PSpDBI&ab_channel=Karnatik,7 Kattai
2,Bantureethi,Hamsanaadam,Thyagaraja,60,https://www.youtube.com/watch?v=aKwJXMEFXhk&ab_channel=CarnaticEcstasy,4 Kattai
1,Kalyana-Rama,Hamsanaadam,Ootukada-Venkatasubaiyar,60,https://www.youtube.com/watch?v=zUnFnTHDMAw&ab_channel=GayathriVenkataraghavan,2 Kattai
2,Kalyana-Rama,Hamsanaadam,Ootukada-Venkatasubaiyar,60,https://www.youtube.com/watch?v=1LZQUtsRwUA&ab_channel=ClassicallyIndian,4 Kattai
1,Dinamani-Vamsa,Harikambhoji,Thyagaraja,28,https://www.youtube.com/watch?v=kM03606EyfM&ab_channel=TheCarnaticEcstasy,7 Kattai
2,Dinamani-Vamsa,Harikambhoji,Thyagaraja,28,https://www.youtube.com/watch?v=EX2IhiuFXDA&ab_channel=SuswaraLahari%28NarayanKumar%29,6 Kattai
1,Enadu-Manam,Harikambhoji,Papanasam-Shivan,28,https://www.youtube.com/watch?v=AfFNQOwSvHI&ab_channel=SanjaySubrahmanyan,5 Kattai
2,Enadu-Manam,Harikambhoji,Papanasam-Shivan,28,https://www.youtube.com/watch?v=jZrNt5GSg10&ab_channel=CarnaticKutcheriWorld,3 Kattai
1,Rama-Nannu-Brovara,Harikambhoji,Thyagaraja,28,https://www.youtube.com/watch?v=UnXYkqXDQNs&list=PLG_Yzqd_RqR0MjTbiWkXDwvqB4Z71o1qk&index=30&ab_channel=AmruthaVenkatesh,4 Kattai
2,Rama-Nannu-Brovara,Harikambhoji,Thyagaraja,28,https://www.youtube.com/watch?v=1xklCtoi9Rg&ab_channel=musiquebox,5 Kattai
1,Aalaagaada,Hatakambari,Koteeshwara-Iyer,18,https://www.youtube.com/watch?v=iY-G0b9zj50&ab_channel=VijayalakshmySubramaniam-Topic,3 Kattai
2,Aalaagaada,Hatakambari,Koteeshwara-Iyer,18,https://www.youtube.com/watch?v=LUG59ztnEk0&list=OLAK5uy_nBLZ0RFtF4CdultzaQe2dz90HSJ_VkdWQ&index=68,1 Kattai
1,Hariharayuvathim,Hemavati,Mutthuswami-Dikshitar,58,https://www.youtube.com/watch?v=ayoBJA8T1u0&ab_channel=SureshM,5 Kattai
2,Hariharayuvathim,Hemavati,Mutthuswami-Dikshitar,58,https://www.youtube.com/watch?v=04083GXkxjE,7 Kattai
1,Nee-Sarisati,Hemavati,Thyagaraja,58,https://www.youtube.com/watch?v=fHO2A-pNHzs&ab_channel=TheRemasteringChannel,7 Kattai
2,Nee-Sarisati,Hemavati,Thyagaraja,58,https://www.youtube.com/watch?v=YuWK4Q2o02k&ab_channel=SureshM,6 Kattai
1,Sri-Kanthimathim,Hemavati,Mutthuswami-Dikshitar,58,https://www.youtube.com/watch?v=6VSPgSqJ-ek&ab_channel=balamusic,7 Kattai
2,Sri-Kanthimathim,Hemavati,Mutthuswami-Dikshitar,58,https://www.youtube.com/watch?v=MbtUNrUFIoo&ab_channel=CarnaticEcstasy,7 Kattai
1,Govardhana-Girisham,Hindolam,Mutthuswami-Dikshitar,20,https://www.youtube.com/watch?v=INFhj0CjyXQ&ab_channel=Ranjani-Gayatri,2 Kattai
2,Govardhana-Girisham,Hindolam,Mutthuswami-Dikshitar,20,https://www.youtube.com/watch?v=M9D3ZYVFe24&ab_channel=SuswaraLahari%28NarayanKumar%29,4 Kattai
1,Mamavathu-Sri,Hindolam,Mysore-Vaasudevacharya,20,https://www.youtube.com/watch?v=pVO0VJBv0GQ&ab_channel=AmuthamMusic,2 Kattai
2,Mamavathu-Sri,Hindolam,Mysore-Vaasudevacharya,20,https://www.youtube.com/watch?v=a5HNxUswR3A&ab_channel=SubramanianKrishnan,6 Kattai
1,Samajavaragamana,Hindolam,Thyagaraja,20,https://www.youtube.com/watch?v=Lyxust_73Bo&ab_channel=MaxworthCapitalMarketServicesPrivateLimited,1 Kattai
2,Samajavaragamana,Hindolam,Thyagaraja,20,https://www.youtube.com/watch?v=gn1-1aemSrY&ab_channel=CarnaticClassicalManoramaMusic,7 Kattai
1,Eppadi-Manam-Thunindhadho,Huseni,Arunaachal-Kavi,22,https://www.youtube.com/watch?v=1_oFGsiUY9k&list=PLG_Yzqd_RqR0MjTbiWkXDwvqB4Z71o1qk&index=43&ab_channel=AmruthaVenkatesh,3 Kattai
2,Eppadi-Manam-Thunindhadho,Huseni,Arunaachal-Kavi,22,https://www.youtube.com/watch?v=kYWr2N4cDbI&ab_channel=M.S.Subbalakshmi-Topic,3 Kattai
1,Raghuvira-Ranadira,Huseni,Thyagaraja,22,https://www.youtube.com/watch?v=_vGa3SwCnOc&ab_channel=NithyasreeMahadevan-Topic,6 Kattai
2,Raghuvira-Ranadira,Huseni,Thyagaraja,22,https://www.youtube.com/watch?v=Saxi0HxQo5s&ab_channel=SubramanianKrishnan,5 Kattai
1,Shri-Kalahasteesha,Huseni,Mutthuswami-Dikshitar,22,https://www.youtube.com/watch?v=5JgxHp9bShU&ab_channel=T.M.Krishna,3 Kattai
2,Shri-Kalahasteesha,Huseni,Mutthuswami-Dikshitar,22,https://www.youtube.com/watch?v=wPp18Kz04Lk&ab_channel=PantulaRama,4 Kattai
1,Shivakaama-Sundari,Jaganmohini,Gopaalakrishna-Bharatiyar,15,https://www.youtube.com/watch?v=iVq7LzwpR1o,4 Kattai
2,Shivakaama-Sundari,Jaganmohini,Gopaalakrishna-Bharatiyar,15,https://www.youtube.com/watch?v=m8Xjp8aFwqA,7 Kattai
1,Shobilu-Saptaswara,Jaganmohini,Thyagaraja,15,https://www.youtube.com/watch?v=JmnXPVPGM7Q,4 Kattai
2,Shobilu-Saptaswara,Jaganmohini,Thyagaraja,15,https://www.youtube.com/watch?v=apQ8SeLJne0,2 Kattai
1,Kanaka-Mayoora,Jalarnavam,Koteeshwara-Iyer,38,https://www.youtube.com/watch?v=-IW5PCO6VL0,6 Kattai
2,Kanaka-Mayoora,Jalarnavam,Koteeshwara-Iyer,38,https://www.youtube.com/watch?v=4jlWW3IwuhY&list=OLAK5uy_nBLZ0RFtF4CdultzaQe2dz90HSJ_VkdWQ&index=63,6 Kattai
1,Pahimam-Sri,Janaranjani,Maha-Vaidhyanatha-Iyer,29,https://www.youtube.com/watch?v=t141V7Q87IA,4 Kattai
2,Pahimam-Sri,Janaranjani,Maha-Vaidhyanatha-Iyer,29,https://www.youtube.com/watch?v=8ZAFHnY-TAg,2 Kattai
1,Vidajaladura,Janaranjani,Thyagaraja,29,https://www.youtube.com/watch?v=Ejhn909pr3o,4 Kattai
2,Vidajaladura,Janaranjani,Thyagaraja,29,https://www.youtube.com/watch?v=I89Y9K6flp0,3 Kattai
1,Marugelara,Jayantashri,Thyagaraja,20,https://www.youtube.com/watch?v=p_NfRHr3H34,6 Kattai
2,Marugelara,Jayantashri,Thyagaraja,20,https://www.youtube.com/watch?v=-9IPngnm64w,5 Kattai
1,Anatharakshaka,Jhalavarali,Koteeshwara-Iyer,39,https://www.youtube.com/watch?v=AnIVrAnW9uo,2 Kattai
2,Anatharakshaka,Jhalavarali,Koteeshwara-Iyer,39,https://www.youtube.com/watch?v=RWHhkCW26rI&list=OLAK5uy_nBLZ0RFtF4CdultzaQe2dz90HSJ_VkdWQ&index=51,7 Kattai
1,Varam-Tarum,Jhankaradhwani,Koteeshwara-Iyer,19,https://www.youtube.com/watch?v=rBoDa3eNG_w&list=OLAK5uy_nBLZ0RFtF4CdultzaQe2dz90HSJ_VkdWQ&index=10,2 Kattai
2,Varam-Tarum,Jhankaradhwani,Koteeshwara-Iyer,19,https://www.youtube.com/watch?v=LxF6ylUGY3w,5 Kattai
1,Aandavan-Darishaname,Jonpuri,Muttiah-Bhagavathar,20,https://www.youtube.com/watch?v=Trs5FQvO0hQ,4 Kattai
2,Aandavan-Darishaname,Jonpuri,Muttiah-Bhagavathar,20,https://www.youtube.com/watch?v=bcFdFKlfSgY,6 Kattai
1,Ashai-Mukham-Marandu,Jonpuri,Subramania-Bharathi,20,https://www.youtube.com/watch?v=a8oFPGIoLjA,3 Kattai
2,Ashai-Mukham-Marandu,Jonpuri,Subramania-Bharathi,20,https://www.youtube.com/watch?v=SzHEG8UrtOk,6 Kattai
1,Eppo-Varuvaro,Jonpuri,Gopaalakrishna-Bharatiyar,20,https://www.youtube.com/watch?v=-c7evse4lGI,4 Kattai
2,Eppo-Varuvaro,Jonpuri,Gopaalakrishna-Bharatiyar,20,https://www.youtube.com/watch?v=Zt_YHL0071k,1 Kattai
1,Ganamuda-Paanam,Jyoti,Koteeshwara-Iyer,68,https://www.youtube.com/watch?v=3MT5bRddbWU,2 Kattai
2,Ganamuda-Paanam,Jyoti,Koteeshwara-Iyer,68,https://www.youtube.com/watch?v=jWtZZ_tdZ4I,6 Kattai
1,Alaipayathue,Kaanada,Ootukada-Venkatasubaiyar,22,https://www.youtube.com/watch?v=Zv4ldTJu6Ow&list=PLkCqsZqFoDzqtFWMdQLffRg4lyjJ1sBcp&index=3&ab_channel=TrichurBrothers,2 Kattai
2,Alaipayathue,Kaanada,Ootukada-Venkatasubaiyar,22,https://www.youtube.com/watch?v=WDz2cpgi12U,3 Kattai
1,Mamavasadha-Janani,Kaanada,Swati-Tirunal,22,https://www.youtube.com/watch?v=HghCTxh9p0Y,3 Kattai
2,Mamavasadha-Janani,Kaanada,Swati-Tirunal,22,https://www.youtube.com/watch?v=dcN59nE8jUk,1 Kattai
1,Nee-Allaal-Ini,Kaanada,GN-Balasubramaniam,22,https://www.youtube.com/watch?v=NDElaR4j-bo,5 Kattai
2,Nee-Allaal-Ini,Kaanada,GN-Balasubramaniam,22,https://www.youtube.com/watch?v=euVb8dqsXhA,5 Kattai
